0:0:0:0:0:0:0:1 - - [11/May/2022:09:49:29 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [11/May/2022:09:49:34 +0700] "GET /trangchu HTTP/1.1" 200 6045
0:0:0:0:0:0:0:1 - - [11/May/2022:09:49:34 +0700] "GET /css/navbar.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [11/May/2022:09:49:34 +0700] "GET /css/style.css HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [11/May/2022:09:49:34 +0700] "GET /js/main.js HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [11/May/2022:09:49:34 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 200 753458
0:0:0:0:0:0:0:1 - - [11/May/2022:09:49:34 +0700] "GET /ckfinder/ckfinder.js HTTP/1.1" 200 533011
0:0:0:0:0:0:0:1 - - [11/May/2022:09:49:35 +0700] "GET /image/brand.png HTTP/1.1" 200 7361
0:0:0:0:0:0:0:1 - - [11/May/2022:09:49:35 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [11/May/2022:09:50:09 +0700] "GET /trangchu HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [11/May/2022:09:50:10 +0700] "GET /css/navbar.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [11/May/2022:09:50:10 +0700] "GET /js/main.js HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [11/May/2022:09:50:10 +0700] "GET /css/style.css HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [11/May/2022:09:50:10 +0700] "GET /ckfinder/ckfinder.js HTTP/1.1" 200 533011
0:0:0:0:0:0:0:1 - - [11/May/2022:09:50:10 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 200 753458
0:0:0:0:0:0:0:1 - - [11/May/2022:09:50:10 +0700] "GET /image/brand.png HTTP/1.1" 200 7361
0:0:0:0:0:0:0:1 - - [11/May/2022:09:50:11 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [11/May/2022:09:50:16 +0700] "GET /trangchu HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [11/May/2022:09:50:16 +0700] "GET /css/style.css HTTP/1.1" 200 4379
